shortcode,owner,comment,likes,text,location,post_likes,taken_at_timestamp
CChsaSjBobU,albert_newton10,"Greetings Mr. President, my name is Jesus Angel Carreto Odonel. The reason for my message is to request a meeting with you to discuss the issue of the Illuminatis. I await your answer soon.
https://www.youtube.com/playlist?list=PLkiWF1OnWroI5oQk0JhdWzAI32rgyqAFM",0, , ,329192,2020-07-12 04:12:16
CChsaSjBobU,brysonweathers,🤣,0, , ,329192,2020-07-12 04:12:16
CChsaSjBobU,deloriskennedy2,KEEP ON TRUMPING!!🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,0, , ,329192,2020-07-12 04:12:16
CChsaSjBobU,fearlessmdr,https://youtu.be/p00fxoDpaIo,0, , ,329192,2020-07-12 04:12:16
CCZpPi3BQlX,snowdell812204,❤️❤️❤️❤️❤️,0,"The people of Mexico and the United States are joined together by shared values, shared faith, and a shared future on this beautiful continent. We are both proud, sovereign nations—built over generations by the sweat, sacrifice and devotion of hardworking people who love their country, and who give everything they have to create a better life for their children.", ,259212,2020-07-09 01:13:34
CCZpPi3BQlX,sabora_1998,You are a terrorist,0,"The people of Mexico and the United States are joined together by shared values, shared faith, and a shared future on this beautiful continent. We are both proud, sovereign nations—built over generations by the sweat, sacrifice and devotion of hardworking people who love their country, and who give everything they have to create a better life for their children.", ,259212,2020-07-09 01:13:34
CCZpPi3BQlX,hardkore5200,Faith is weak confidence is better.,0,"The people of Mexico and the United States are joined together by shared values, shared faith, and a shared future on this beautiful continent. We are both proud, sovereign nations—built over generations by the sweat, sacrifice and devotion of hardworking people who love their country, and who give everything they have to create a better life for their children.", ,259212,2020-07-09 01:13:34
CCZpPi3BQlX,christineljones,Hey may grand daughter really really wants to meet  you and your wife,0,"The people of Mexico and the United States are joined together by shared values, shared faith, and a shared future on this beautiful continent. We are both proud, sovereign nations—built over generations by the sweat, sacrifice and devotion of hardworking people who love their country, and who give everything they have to create a better life for their children.", ,259212,2020-07-09 01:13:34
CCZpPi3BQlX,christineljones,Please,0,"The people of Mexico and the United States are joined together by shared values, shared faith, and a shared future on this beautiful continent. We are both proud, sovereign nations—built over generations by the sweat, sacrifice and devotion of hardworking people who love their country, and who give everything they have to create a better life for their children.", ,259212,2020-07-09 01:13:34
CCZpPi3BQlX,christineljones,😩,0,"The people of Mexico and the United States are joined together by shared values, shared faith, and a shared future on this beautiful continent. We are both proud, sovereign nations—built over generations by the sweat, sacrifice and devotion of hardworking people who love their country, and who give everything they have to create a better life for their children.", ,259212,2020-07-09 01:13:34
CCZpPi3BQlX,victor_861687,@leo_da_bull 😏😏,0,"The people of Mexico and the United States are joined together by shared values, shared faith, and a shared future on this beautiful continent. We are both proud, sovereign nations—built over generations by the sweat, sacrifice and devotion of hardworking people who love their country, and who give everything they have to create a better life for their children.", ,259212,2020-07-09 01:13:34
CCZpPi3BQlX,davidl7586,Go trump 🔥,0,"The people of Mexico and the United States are joined together by shared values, shared faith, and a shared future on this beautiful continent. We are both proud, sovereign nations—built over generations by the sweat, sacrifice and devotion of hardworking people who love their country, and who give everything they have to create a better life for their children.", ,259212,2020-07-09 01:13:34
CCZpPi3BQlX,officialmohamadhomamee,عمو ترامپ چیحالی,1,"The people of Mexico and the United States are joined together by shared values, shared faith, and a shared future on this beautiful continent. We are both proud, sovereign nations—built over generations by the sweat, sacrifice and devotion of hardworking people who love their country, and who give everything they have to create a better life for their children.", ,259212,2020-07-09 01:13:34
CCZpPi3BQlX,dn.nature,Follow❤️❤️❤️🇺🇲🇺🇲,0,"The people of Mexico and the United States are joined together by shared values, shared faith, and a shared future on this beautiful continent. We are both proud, sovereign nations—built over generations by the sweat, sacrifice and devotion of hardworking people who love their country, and who give everything they have to create a better life for their children.", ,259212,2020-07-09 01:13:34
CCZpPi3BQlX,sabora_1998,"America is on the verge of extinction👊👊
Trump, wait for the whole of America to catch fire✌
Qassem Soleimani's forces are coming you✌✌🇮🇷🇮🇷🇮🇷
You are a terrorist",0,"The people of Mexico and the United States are joined together by shared values, shared faith, and a shared future on this beautiful continent. We are both proud, sovereign nations—built over generations by the sweat, sacrifice and devotion of hardworking people who love their country, and who give everything they have to create a better life for their children.", ,259212,2020-07-09 01:13:34
CCZpPi3BQlX,sabora_1998,#سپاه_پاسداران,0,"The people of Mexico and the United States are joined together by shared values, shared faith, and a shared future on this beautiful continent. We are both proud, sovereign nations—built over generations by the sweat, sacrifice and devotion of hardworking people who love their country, and who give everything they have to create a better life for their children.", ,259212,2020-07-09 01:13:34
CCZpPi3BQlX,cynthiaevandyke,👍🙏,0,"The people of Mexico and the United States are joined together by shared values, shared faith, and a shared future on this beautiful continent. We are both proud, sovereign nations—built over generations by the sweat, sacrifice and devotion of hardworking people who love their country, and who give everything they have to create a better life for their children.", ,259212,2020-07-09 01:13:34
CCZpPi3BQlX,samya.simpson23,POV: Ur mad bc Gen Z is standing up for what they believe in and made u hide in a bunker😂🤪,2,"The people of Mexico and the United States are joined together by shared values, shared faith, and a shared future on this beautiful continent. We are both proud, sovereign nations—built over generations by the sweat, sacrifice and devotion of hardworking people who love their country, and who give everything they have to create a better life for their children.", ,259212,2020-07-09 01:13:34
CCZpPi3BQlX,isaa.avilaaaa,Besties,0,"The people of Mexico and the United States are joined together by shared values, shared faith, and a shared future on this beautiful continent. We are both proud, sovereign nations—built over generations by the sweat, sacrifice and devotion of hardworking people who love their country, and who give everything they have to create a better life for their children.", ,259212,2020-07-09 01:13:34
CCeHdTuBvVn,paperthestallion,I need to be an that Airplane HELLO 👋 OVER HEAR DADDY,0,On my way to U.S. Southern Command in the Great State of Florida earlier today!,The White House,441914,2020-07-10 18:52:10
CCeHdTuBvVn,arianapixiesand,🌲✨go to sleep 🌸🥰 forever 💫🐾🧚🏻‍♀️💖,1,On my way to U.S. Southern Command in the Great State of Florida earlier today!,The White House,441914,2020-07-10 18:52:10
CCeHdTuBvVn,jga.ls4400,#ALPHA #BASED #MAGA #TRUMP2020,0,On my way to U.S. Southern Command in the Great State of Florida earlier today!,The White House,441914,2020-07-10 18:52:10
CCeHdTuBvVn,jesus_masoud_tofighi,You shine on TV!!!!!?,0,On my way to U.S. Southern Command in the Great State of Florida earlier today!,The White House,441914,2020-07-10 18:52:10
CCeHdTuBvVn,dn.nature,Follow❤️❤️❤️🇺🇲🇺🇲,0,On my way to U.S. Southern Command in the Great State of Florida earlier today!,The White House,441914,2020-07-10 18:52:10
CCeHdTuBvVn,rostumflores,Well atleast he did not forget to salute.,0,On my way to U.S. Southern Command in the Great State of Florida earlier today!,The White House,441914,2020-07-10 18:52:10
CCeHdTuBvVn,novoj2020,NOVOJ SPORT CLOTHING LINE coming soon no one values our journey journey strong be valued,0,On my way to U.S. Southern Command in the Great State of Florida earlier today!,The White House,441914,2020-07-10 18:52:10
CCeHdTuBvVn,pigpenofficial,What a way commute ! 👏👌 #trump2020,0,On my way to U.S. Southern Command in the Great State of Florida earlier today!,The White House,441914,2020-07-10 18:52:10
CCeHdTuBvVn,ilustrejoseh,"ATTENTION: 🇺🇸19 / 07 / 2020🇻🇪 His Excellency President mr. @realdonaldtrump. The figure of the President of the United States has taken unimaginable and unsuspected proportions for Latin America and especially Venezuela and the world, the causes are as many or many. China, Iran, Cuba, Nicaragua and Venezuela. It's up to you. guarantee the fulfillment of human rights, help Venezuelans to regain their freedom and democracy, the open and frontal fight against mega criminal organizations and global drug trafficking. The Chinese virus (covi 19) is not a fortuitous case as China declares war on the existence of life in humanity, overwhelmingly with its accomplices, China lied to the world. Me In my opinion, how @jguaido needs the support of the United States. President Real Donal TRUMP has demonstrated with firm determination, his struggles in defense of democracy and life on the planet are nothing ... tremendous responsibility, could well be dedicated to his wife, children and grandchildren, you give yourself body soul and heart in defense of the most precious things on the planet the care and protection of its inhabitants on the planet and in Defense of Democracy. In my opinion, it is time for all the countries of the democratic world to close ranks and all those who feel life as the most sacred of humanity, unite in one voice a single cause. Protecting life on the planet is everyone's job ... 🇺🇸🌄. So, as part and in gratitude for defending my life and that of my loved ones; Just as there is a law to sanction the President for treason and other crimes and serious crimes, I respectfully request the United States Senate and the institutions of the Democratic world to be granted the highest recognition in their first and only class, for protecting life. in the planet. ****** CIRO EL GRANDE ***** ""@vp #maga @writehouse @firstfamilytrumps  #europa2020de #europe @parlamentoeuropeo @coalicionddhhydemocracia  #libertadparatodoslospresospoliticos @robertomarrero1969 @juanrequesens",0,On my way to U.S. Southern Command in the Great State of Florida earlier today!,The White House,441914,2020-07-10 18:52:10
CCeHdTuBvVn,faimaneduardo,😂😂😂😂😂😂😂😂😂😂😂😂,1,On my way to U.S. Southern Command in the Great State of Florida earlier today!,The White House,441914,2020-07-10 18:52:10
CCeHdTuBvVn,cynthiaevandyke,👍🙏,0,On my way to U.S. Southern Command in the Great State of Florida earlier today!,The White House,441914,2020-07-10 18:52:10
CCeHdTuBvVn,fearlessmdr,Visiting the state who followed your lead and now has some of the worst COVID numbers. Don’t forget to not wear your mask!,0,On my way to U.S. Southern Command in the Great State of Florida earlier today!,The White House,441914,2020-07-10 18:52:10
CCeHdTuBvVn,drew.taylor.712,I'm just minding my business on broad Street,0,On my way to U.S. Southern Command in the Great State of Florida earlier today!,The White House,441914,2020-07-10 18:52:10
CCeHdTuBvVn,drew.taylor.712,I don't know why the go against you,0,On my way to U.S. Southern Command in the Great State of Florida earlier today!,The White House,441914,2020-07-10 18:52:10
CCeHdTuBvVn,lora_jane.b,Love him❤️,0,On my way to U.S. Southern Command in the Great State of Florida earlier today!,The White House,441914,2020-07-10 18:52:10
CCeqHFABjXr,sabora_1998,"America is on the verge of extinction👊👊
Trump, wait for the whole of America to catch fire✌
Qassem Soleimani's forces are coming you✌✌🇮🇷🇮🇷🇮🇷
You are a terrorist",0,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
CCeqHFABjXr,sabora_1998,"America is on the verge of extinction👊👊
Trump, wait for the whole of America to catch fire✌
Qassem Soleimani's forces are coming you✌✌🇮🇷🇮🇷🇮🇷
You are a terrorist",0,"GREAT WORK U.S. Southern Command! On behalf of the American People, THANK YOU!","Miami, Florida",231453,2020-07-10 23:54:13
